Bạn đang ở loại hình nào? ,"Số người ở trong phòng là bao nhiêu? (Số)
","Diện tích phòng của bạn là bao nhiêu m^2? (Điền số)
",  Phòng của bạn nằm ở tầng mấy?  ,  Phòng có bị nắng chiếu trực tiếp nhiều không?  ,  Phòng có cửa sổ/ban công thông thoáng không?  ,Phòng bạn có máy lạnh không?  ,"Nếu có, phòng bạn có bao nhiêu máy lạnh?  ",  Bạn thường để máy lạnh ở mức nhiệt độ bao nhiêu?  ,  Trung bình mỗi ngày bạn bật máy lạnh bao nhiêu giờ?  ,Phòng bạn có bao nhiêu quạt?  (số),  Trung bình mỗi ngày bạn bật quạt bao nhiêu giờ?  ,  Phòng bạn có tủ lạnh không?  ,Phòng bạn có sử dụng bếp điện/bếp từ/nồi cơm điện không? ,  Phòng bạn có máy giặt không?  ,  Trung bình một tuần bạn giặt máy bao nhiêu lần?  ,  Phòng bạn có bình nóng lạnh/máy nước nóng không?  ,  Trung bình mỗi ngày dùng bình nóng lạnh bao lâu?  ,  Bạn có sử dụng máy tính bàn/laptop thường xuyên không?  ,  Các thiết bị khác bạn đang sử dụng  ,  Bạn thường ở phòng vào thời gian nào trong ngày?  ,Trung bình mỗi ngày bạn ở phòng khoảng bao nhiêu giờ?  ,Bạn có thường xuyên học/làm việc online tại phòng không?  ,Bạn có thói quen tắt thiết bị điện khi không sử dụng không?  ,Mức độ sử dụng điện của bạn vào mùa nóng so với bình thường  ,Tiền điện tháng gần nhất của phòng bạn là bao nhiêu?  (VND/tháng),  Số kWh điện tháng gần nhất là bao nhiêu? (kWh) (Không biết có thể bỏ qua),  Giá điện bạn đang trả là bao nhiêu tiền/kWh?  ,Công tơ điện của bạn là loại nào?  , Tiền điện này là của tháng nào?  ,"  Trong tháng đó, bạn có ở phòng đủ cả tháng không?  "
Phòng trọ,3,28,Tầng 3,Có,"Có, thông thoáng bình thường",Có,1,24–26°C,6–8 giờ,3,6–8 giờ,Có tủ lạnh thường,"Có, sử dụng thường xuyên",Có,3–4 lần,Có,15–30 phút,4–6 giờ/ngày,"Đèn LED, Tivi",Cả ngày,12–16 giờ,Thường xuyên,Thỉnh thoảng,Tăng nhiều,1450000,340,4.000–4.500đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,6,40,Tầng 2,Không,Rất thông thoáng,Không,0,Không dùng máy lạnh,0 giờ,4,6–8 giờ,Không,Không sử dụng,Có,5 lần trở lên,Có,Dưới 15 phút,2–4 giờ/ngày,Đèn LED,Cả ngày,Trên 16 giờ,Thỉnh thoảng,Thường xuyên,Tăng nhẹ,620000,180,3.000–3.500đ/kWh,Công tơ chung với phòng khác,Tháng 3,Có
Căn hộ mini,2,38,Tầng 4 trở lên,Có,"Có, thông thoáng bình thường",Có,2,24–26°C,6–8 giờ,2,4–6 giờ,Có tủ lạnh thường,"Có, sử dụng thường xuyên",Có,3–4 lần,Có,30–60 phút,Trên 6 giờ/ngày,"Đèn LED, Tivi, Nồi chiên không dầu",Cả ngày,12–16 giờ,Gần như mỗi ngày,Thỉnh thoảng,Tăng rất nhiều,1920000,430,4.000–4.500đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,1,14,Tầng trệt,Không,Không có,Không,0,Không dùng máy lạnh,0 giờ,1,4–6 giờ,Có tủ lạnh mini,"Có, nhưng ít",Không,0 lần,Không,Không dùng,Dùng dưới 2 giờ/ngày,Đèn LED,Chủ yếu buổi tối,4–8 giờ,Không,Luôn luôn,Không thay đổi,290000,75,3.500–4.000đ/kWh,Công tơ riêng,Tháng 3,Có
Nhà nguyên căn,5,75,Tầng 2,Có,Rất thông thoáng,Có,3,24–26°C,Trên 8 giờ,5,6–8 giờ,Có tủ lạnh lớn,"Có, sử dụng thường xuyên",Có,5 lần trở lên,Có,Trên 60 phút,Trên 6 giờ/ngày,"Đèn LED, Loa, Máy lọc không khí, Lò vi sóng",Cả ngày,Trên 16 giờ,Gần như mỗi ngày,Thỉnh thoảng,Tăng rất nhiều,3850000,860,4.000–4.500đ/kWh,Công tơ riêng,Tháng 4,Có
Chung cư,2,50,Tầng 4 trở lên,Có,Rất thông thoáng,Có,2,24–26°C,4–6 giờ,2,4–6 giờ,Có tủ lạnh thường,"Có, sử dụng thường xuyên",Có,1–2 lần,Có,15–30 phút,4–6 giờ/ngày,"Đèn LED, Tivi",Chủ yếu buổi tối,8–12 giờ,Thường xuyên,Thường xuyên,Tăng nhiều,1780000,410,4.000–4.500đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,2,25,Tầng 1-3,Có,"Có, rất thoáng",Có,1,Trên 26°C,8,3,15,Có tủ lạnh thường,"Có, nhưng ít",Có,2,Có,30–60 phút,4–6 giờ/ngày,"Đèn LED, Sạc điện thoại",Cả ngày,12,Không,Thỉnh thoảng,Tăng nhiều,868000,217,4000đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,3,22,Tầng 1-3,Có,"Có, rất thoáng",Có,1,Dưới 24°C,8,2,16,Có tủ lạnh mini,"Có, sử dụng thường xuyên",Không,0,Không,Không dùng,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Chủ yếu buổi tối,18,Thỉnh thoảng,Thỉnh thoảng,Tăng nhẹ,816000,204,4000đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,4,21,Tầng 4 trở lên,Thỉnh thoảng,"Có, rất thoáng",Không,0,Không dùng máy lạnh,0,1,9,Có tủ lạnh thường,"Có, nhưng ít",Có,4,Không,Không dùng,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,9,Không,Thỉnh thoảng,Tăng rất nhiều,324000,81,4000đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,4,21,Tầng 1-3,Không,"Có, thông thoáng bình thường",Có,1,24–26°C,8,2,13,Không,Không sử dụng,Có,3,Không,Không dùng,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,13,Không,Thỉnh thoảng,Tăng nhiều,856000,214,4000đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,2,22,Tầng trệt,Có,Không có cửa sổ,Không,0,Không dùng máy lạnh,0,3,16,Có tủ lạnh thường,"Có, nhưng ít",Không,0,Không,Không dùng,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Cả ngày,17,Không,Thỉnh thoảng,Tăng nhiều,284000,71,4000đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,1,16,Tầng 4 trở lên,Không,Không có cửa sổ,Có,1,Trên 26°C,9,1,11,Không,"Có, sử dụng thường xuyên",Không,0,Có,15–30 phút,4–6 giờ/ngày,"Đèn LED, Sạc điện thoại",Cả ngày,17,Thường xuyên,Thỉnh thoảng,Tăng nhẹ,542500,155,3500đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,4,20,Tầng 4 trở lên,Không,Không có cửa sổ,Không,0,Không dùng máy lạnh,0,1,10,Không,Không sử dụng,Không,0,Không,Không dùng,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Chủ yếu buổi tối,17,Không,Luôn luôn,Tăng nhiều,196000,56,3500đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,2,21,Tầng trệt,Thỉnh thoảng,"Có, rất thoáng",Có,1,Dưới 24°C,5,3,12,Không,"Có, nhưng ít",Không,0,Có,30–60 phút,4–6 giờ/ngày,"Đèn LED, Sạc điện thoại",Chủ yếu buổi tối,10,Không,Luôn luôn,Tăng nhiều,576000,144,4000đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,3,25,Tầng trệt,Có,Không có cửa sổ,Không,0,Không dùng máy lạnh,0,1,15,Không,"Có, sử dụng thường xuyên",Không,0,Không,Không dùng,4–6 giờ/ngày,"Đèn LED, Sạc điện thoại",Cả ngày,12,Thường xuyên,Luôn luôn,Tăng nhiều,203000,58,3500đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,3,21,Tầng 1-3,Không,"Có, rất thoáng",Không,0,Không dùng máy lạnh,0,1,15,Không,"Có, sử dụng thường xuyên",Có,4,Không,Không dùng,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Chủ yếu buổi tối,9,Thường xuyên,Thỉnh thoảng,Tăng rất nhiều,231800,61,3800đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,2,27,Tầng 1-3,Không,"Có, rất thoáng",Có,1,Dưới 24°C,7,1,11,Không,"Có, nhưng ít",Không,0,Không,Không dùng,Trên 6 giờ/ngày,"Đèn LED, Sạc điện thoại",Chủ yếu buổi tối,14,Thường xuyên,Thỉnh thoảng,Tăng nhiều,532000,152,3500đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,1,20,Tầng 1-3,Thỉnh thoảng,"Có, thông thoáng bình thường",Không,0,Không dùng máy lạnh,0,3,16,Không,"Có, sử dụng thường xuyên",Có,2,Có,Dưới 15 phút,4–6 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,9,Thường xuyên,Luôn luôn,Tăng rất nhiều,204000,51,4000đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,1,29,Tầng trệt,Có,"Có, rất thoáng",Có,1,24–26°C,6,3,11,Không,"Có, nhưng ít",Không,0,Không,Không dùng,Trên 6 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,18,Thỉnh thoảng,Thỉnh thoảng,Tăng nhẹ,427000,122,3500đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,3,14,Tầng trệt,Không,"Có, rất thoáng",Không,0,Không dùng máy lạnh,0,3,13,Có tủ lạnh mini,Không sử dụng,Không,0,Không,Không dùng,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,18,Thường xuyên,Luôn luôn,Tăng rất nhiều,353400,93,3800đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,2,30,Tầng 1-3,Không,Không có cửa sổ,Có,1,24–26°C,10,2,14,Không,Không sử dụng,Không,0,Có,Dưới 15 phút,4–6 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,8,Không,Luôn luôn,Tăng nhiều,780500,223,3500đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,4,30,Tầng 4 trở lên,Có,"Có, rất thoáng",Không,0,Không dùng máy lạnh,0,1,10,Có tủ lạnh mini,"Có, sử dụng thường xuyên",Không,0,Không,Không dùng,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Cả ngày,9,Không,Thỉnh thoảng,Tăng rất nhiều,395200,104,3800đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,1,25,Tầng 1-3,Không,Không có cửa sổ,Không,0,Không dùng máy lạnh,0,2,9,Không,Không sử dụng,Có,3,Không,Không dùng,4–6 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,15,Không,Luôn luôn,Tăng nhẹ,140600,37,3800đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,4,30,Tầng trệt,Không,"Có, rất thoáng",Có,1,Dưới 24°C,3,3,6,Có tủ lạnh thường,"Có, nhưng ít",Có,2,Có,15–30 phút,4–6 giờ/ngày,"Đèn LED, Sạc điện thoại",Cả ngày,11,Thỉnh thoảng,Thỉnh thoảng,Tăng nhẹ,764000,191,4000đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,3,19,Tầng trệt,Có,"Có, rất thoáng",Không,0,Không dùng máy lạnh,0,1,14,Có tủ lạnh thường,"Có, nhưng ít",Không,0,Có,30–60 phút,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Cả ngày,10,Thường xuyên,Luôn luôn,Tăng rất nhiều,372000,93,4000đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,1,25,Tầng trệt,Có,"Có, thông thoáng bình thường",Có,1,Dưới 24°C,10,1,9,Không,Không sử dụng,Không,0,Có,Dưới 15 phút,4–6 giờ/ngày,"Đèn LED, Sạc điện thoại",Chủ yếu buổi tối,12,Thỉnh thoảng,Thỉnh thoảng,Tăng nhẹ,591500,169,3500đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,4,20,Tầng trệt,Không,Không có cửa sổ,Không,0,Không dùng máy lạnh,0,1,14,Không,"Có, sử dụng thường xuyên",Không,0,Không,Không dùng,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,16,Thường xuyên,Thỉnh thoảng,Tăng rất nhiều,212800,56,3800đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,2,18,Tầng 4 trở lên,Không,Không có cửa sổ,Có,1,Dưới 24°C,5,2,12,Có tủ lạnh thường,"Có, nhưng ít",Có,4,Không,Không dùng,Trên 6 giờ/ngày,"Đèn LED, Sạc điện thoại",Chủ yếu buổi tối,16,Không,Luôn luôn,Tăng rất nhiều,620000,155,4000đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,1,16,Tầng 1-3,Thỉnh thoảng,"Có, rất thoáng",Không,0,Không dùng máy lạnh,0,3,14,Có tủ lạnh mini,"Có, sử dụng thường xuyên",Có,2,Không,Không dùng,Trên 6 giờ/ngày,"Đèn LED, Sạc điện thoại",Chủ yếu buổi tối,16,Không,Thỉnh thoảng,Tăng nhiều,238000,68,3500đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,1,27,Tầng 1-3,Có,"Có, rất thoáng",Có,1,Trên 26°C,3,3,7,Có tủ lạnh thường,"Có, sử dụng thường xuyên",Không,0,Không,Không dùng,4–6 giờ/ngày,"Đèn LED, Sạc điện thoại",Chủ yếu buổi tối,13,Thường xuyên,Luôn luôn,Tăng nhiều,346500,99,3500đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,1,14,Tầng trệt,Thỉnh thoảng,"Có, rất thoáng",Không,0,Không dùng máy lạnh,0,1,11,Không,"Có, sử dụng thường xuyên",Không,0,Có,30–60 phút,Trên 6 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,18,Thỉnh thoảng,Luôn luôn,Tăng rất nhiều,196000,56,3500đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,1,12,Tầng 1-3,Có,"Có, rất thoáng",Có,1,Dưới 24°C,9,3,6,Không,"Có, nhưng ít",Không,0,Không,Không dùng,Trên 6 giờ/ngày,"Đèn LED, Sạc điện thoại",Chủ yếu buổi tối,18,Thường xuyên,Thỉnh thoảng,Tăng rất nhiều,560000,160,3500đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,1,18,Tầng 4 trở lên,Không,"Có, rất thoáng",Không,0,Không dùng máy lạnh,0,2,11,Có tủ lạnh thường,"Có, sử dụng thường xuyên",Có,2,Có,Dưới 15 phút,Trên 6 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,13,Không,Thỉnh thoảng,Tăng nhiều,288800,76,3800đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,2,24,Tầng 1-3,Không,Không có cửa sổ,Không,0,Không dùng máy lạnh,0,1,14,Có tủ lạnh mini,"Có, nhưng ít",Không,0,Không,Không dùng,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,17,Thường xuyên,Thỉnh thoảng,Tăng nhiều,231000,66,3500đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,2,23,Tầng trệt,Có,Không có cửa sổ,Có,1,24–26°C,10,3,7,Có tủ lạnh mini,Không sử dụng,Không,0,Có,30–60 phút,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Chủ yếu buổi tối,13,Thường xuyên,Thỉnh thoảng,Tăng rất nhiều,912000,240,3800đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,1,28,Tầng 4 trở lên,Thỉnh thoảng,"Có, thông thoáng bình thường",Không,0,Không dùng máy lạnh,0,1,7,Không,"Có, nhưng ít",Có,4,Không,Không dùng,4–6 giờ/ngày,"Đèn LED, Sạc điện thoại",Chủ yếu buổi tối,8,Thường xuyên,Thỉnh thoảng,Tăng nhiều,224000,56,4000đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,2,14,Tầng 4 trở lên,Có,"Có, rất thoáng",Không,0,Không dùng máy lạnh,0,1,10,Có tủ lạnh mini,"Có, nhưng ít",Không,0,Không,Không dùng,Trên 6 giờ/ngày,"Đèn LED, Sạc điện thoại",Cả ngày,15,Thường xuyên,Luôn luôn,Tăng rất nhiều,252000,72,3500đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,3,27,Tầng trệt,Không,"Có, rất thoáng",Có,1,Dưới 24°C,10,2,8,Có tủ lạnh thường,"Có, nhưng ít",Có,3,Có,30–60 phút,4–6 giờ/ngày,"Đèn LED, Sạc điện thoại",Cả ngày,18,Không,Thỉnh thoảng,Tăng rất nhiều,992000,248,4000đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,3,27,Tầng trệt,Thỉnh thoảng,Không có cửa sổ,Có,1,Trên 26°C,4,3,6,Có tủ lạnh thường,Không sử dụng,Có,3,Có,15–30 phút,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,15,Thỉnh thoảng,Thỉnh thoảng,Tăng nhẹ,649800,171,3800đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,3,26,Tầng trệt,Thỉnh thoảng,"Có, thông thoáng bình thường",Có,1,24–26°C,7,3,15,Có tủ lạnh thường,"Có, nhưng ít",Có,3,Không,Không dùng,Trên 6 giờ/ngày,"Đèn LED, Sạc điện thoại",Chủ yếu buổi tối,8,Thường xuyên,Luôn luôn,Tăng rất nhiều,772000,193,4000đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,3,28,Tầng 4 trở lên,Có,Không có cửa sổ,Có,1,Dưới 24°C,6,2,12,Không,"Có, nhưng ít",Không,0,Có,15–30 phút,Trên 6 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,17,Không,Thỉnh thoảng,Tăng nhiều,632000,158,4000đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,4,29,Tầng trệt,Thỉnh thoảng,"Có, thông thoáng bình thường",Có,1,24–26°C,8,1,6,Có tủ lạnh thường,"Có, nhưng ít",Không,0,Không,Không dùng,4–6 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,16,Thường xuyên,Luôn luôn,Tăng nhẹ,1012000,253,4000đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,2,16,Tầng trệt,Có,"Có, thông thoáng bình thường",Không,0,Không dùng máy lạnh,0,1,11,Có tủ lạnh mini,"Có, sử dụng thường xuyên",Không,0,Không,Không dùng,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Cả ngày,9,Thường xuyên,Thỉnh thoảng,Tăng nhiều,326800,86,3800đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,3,26,Tầng 4 trở lên,Thỉnh thoảng,"Có, thông thoáng bình thường",Không,0,Không dùng máy lạnh,0,3,13,Có tủ lạnh mini,"Có, sử dụng thường xuyên",Không,0,Không,Không dùng,4–6 giờ/ngày,"Đèn LED, Sạc điện thoại",Chủ yếu buổi tối,8,Thường xuyên,Thỉnh thoảng,Tăng rất nhiều,424000,106,4000đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,1,23,Tầng 1-3,Không,Không có cửa sổ,Có,1,24–26°C,7,1,9,Có tủ lạnh thường,Không sử dụng,Không,0,Có,30–60 phút,Trên 6 giờ/ngày,"Đèn LED, Sạc điện thoại",Chủ yếu buổi tối,16,Không,Thỉnh thoảng,Tăng rất nhiều,640000,160,4000đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,4,28,Tầng 4 trở lên,Có,Không có cửa sổ,Có,1,24–26°C,6,1,16,Có tủ lạnh thường,"Có, sử dụng thường xuyên",Có,3,Không,Không dùng,4–6 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,12,Thường xuyên,Luôn luôn,Tăng nhiều,679000,194,3500đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,1,30,Tầng 4 trở lên,Có,Không có cửa sổ,Có,1,Dưới 24°C,9,3,11,Có tủ lạnh thường,"Có, nhưng ít",Không,0,Không,Không dùng,4–6 giờ/ngày,"Đèn LED, Sạc điện thoại",Chủ yếu buổi tối,12,Không,Luôn luôn,Tăng nhẹ,695400,183,3800đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,1,26,Tầng 1-3,Không,"Có, thông thoáng bình thường",Không,0,Không dùng máy lạnh,0,2,14,Có tủ lạnh thường,Không sử dụng,Không,0,Có,30–60 phút,4–6 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,12,Thỉnh thoảng,Thỉnh thoảng,Tăng nhẹ,356000,89,4000đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,2,16,Tầng trệt,Có,"Có, rất thoáng",Có,1,Dưới 24°C,4,3,13,Có tủ lạnh thường,Không sử dụng,Không,0,Không,Không dùng,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Chủ yếu buổi tối,14,Thỉnh thoảng,Luôn luôn,Tăng rất nhiều,596000,149,4000đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,3,23,Tầng 1-3,Không,"Có, thông thoáng bình thường",Có,1,Trên 26°C,7,2,8,Không,"Có, nhưng ít",Không,0,Không,Không dùng,4–6 giờ/ngày,"Đèn LED, Sạc điện thoại",Chủ yếu buổi tối,16,Không,Thỉnh thoảng,Tăng nhẹ,562400,148,3800đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,4,13,Tầng 4 trở lên,Có,"Có, rất thoáng",Có,1,Dưới 24°C,5,2,7,Không,"Có, sử dụng thường xuyên",Không,0,Có,30–60 phút,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Cả ngày,8,Không,Luôn luôn,Tăng nhiều,567000,162,3500đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,4,22,Tầng trệt,Có,"Có, rất thoáng",Không,0,Không dùng máy lạnh,0,3,15,Có tủ lạnh thường,"Có, sử dụng thường xuyên",Không,0,Không,Không dùng,Trên 6 giờ/ngày,"Đèn LED, Sạc điện thoại",Chủ yếu buổi tối,9,Không,Thỉnh thoảng,Tăng nhẹ,380000,95,4000đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,3,21,Tầng 1-3,Không,Không có cửa sổ,Có,1,Dưới 24°C,10,3,11,Không,"Có, nhưng ít",Có,3,Có,15–30 phút,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Cả ngày,15,Không,Luôn luôn,Tăng nhiều,908000,227,4000đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,4,25,Tầng 1-3,Có,"Có, rất thoáng",Không,0,Không dùng máy lạnh,0,1,15,Có tủ lạnh thường,"Có, sử dụng thường xuyên",Có,3,Không,Không dùng,Trên 6 giờ/ngày,"Đèn LED, Sạc điện thoại",Chủ yếu buổi tối,10,Không,Thỉnh thoảng,Tăng nhẹ,444600,117,3800đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,3,25,Tầng 1-3,Thỉnh thoảng,"Có, thông thoáng bình thường",Có,1,Trên 26°C,9,1,8,Không,Không sử dụng,Có,4,Không,Không dùng,Trên 6 giờ/ngày,"Đèn LED, Sạc điện thoại",Chủ yếu buổi tối,13,Thỉnh thoảng,Thỉnh thoảng,Tăng nhẹ,741000,195,3800đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,4,23,Tầng trệt,Không,"Có, rất thoáng",Có,1,24–26°C,3,1,12,Không,"Có, sử dụng thường xuyên",Có,2,Có,Dưới 15 phút,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Chủ yếu buổi tối,12,Thường xuyên,Luôn luôn,Tăng nhẹ,484000,121,4000đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,2,30,Tầng 1-3,Có,"Có, thông thoáng bình thường",Có,1,24–26°C,9,1,8,Có tủ lạnh thường,Không sử dụng,Không,0,Không,Không dùng,Trên 6 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,18,Không,Luôn luôn,Tăng nhiều,689500,197,3500đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,2,28,Tầng trệt,Có,Không có cửa sổ,Không,0,Không dùng máy lạnh,0,1,7,Có tủ lạnh thường,Không sử dụng,Không,0,Không,Không dùng,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Chủ yếu buổi tối,11,Thường xuyên,Luôn luôn,Tăng nhẹ,239400,63,3800đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,4,25,Tầng 4 trở lên,Thỉnh thoảng,"Có, rất thoáng",Có,1,24–26°C,7,2,10,Không,Không sử dụng,Không,0,Không,Không dùng,4–6 giờ/ngày,"Đèn LED, Sạc điện thoại",Chủ yếu buổi tối,16,Thỉnh thoảng,Thỉnh thoảng,Tăng nhiều,665000,175,3800đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,3,13,Tầng 4 trở lên,Có,"Có, thông thoáng bình thường",Không,0,Không dùng máy lạnh,0,2,16,Có tủ lạnh thường,"Có, sử dụng thường xuyên",Không,0,Có,15–30 phút,Trên 6 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,9,Thường xuyên,Thỉnh thoảng,Tăng nhẹ,383800,101,3800đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,4,24,Tầng 4 trở lên,Không,Không có cửa sổ,Có,1,24–26°C,5,1,16,Có tủ lạnh thường,Không sử dụng,Có,2,Không,Không dùng,4–6 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,12,Thường xuyên,Luôn luôn,Tăng rất nhiều,748600,197,3800đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,4,21,Tầng 1-3,Có,Không có cửa sổ,Không,0,Không dùng máy lạnh,0,2,9,Có tủ lạnh mini,"Có, nhưng ít",Có,4,Không,Không dùng,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Cả ngày,13,Không,Luôn luôn,Tăng nhiều,329000,94,3500đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,1,19,Tầng 4 trở lên,Thỉnh thoảng,"Có, rất thoáng",Có,1,Dưới 24°C,9,1,11,Có tủ lạnh thường,"Có, sử dụng thường xuyên",Không,0,Không,Không dùng,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Cả ngày,14,Không,Luôn luôn,Tăng nhiều,661500,189,3500đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,3,20,Tầng 1-3,Không,"Có, rất thoáng",Không,0,Không dùng máy lạnh,0,1,10,Có tủ lạnh mini,Không sử dụng,Không,0,Không,Không dùng,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Chủ yếu buổi tối,16,Thường xuyên,Thỉnh thoảng,Tăng nhiều,368000,92,4000đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,1,18,Tầng trệt,Không,"Có, thông thoáng bình thường",Có,1,Dưới 24°C,4,3,10,Có tủ lạnh mini,"Có, sử dụng thường xuyên",Không,0,Không,Không dùng,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,15,Không,Luôn luôn,Tăng rất nhiều,423500,121,3500đ/kWh,Công tơ riêng,Tháng 4,Có
